Prince	COMING_SOON	Anbu a social science teacher in the town of Devanakottai falls in with a young British woman Jessica who come to teach English in the same school as Anbu. The love leads to a comedy of errors due to the difference in the cultures and opinions of the people of the town and the couple themselves. Will anbu and jessica unite inspire o all of these discriminations and the differences that the society has forced upon them? A fun filled comedy of errors which celebrates the idea of harmony and peace in a world filled with discriminations and differences.	Comedy	Mr. Anudeep	Sivakarthikeyan, Sathyaraj, Maria Ryaboshapka	PG13	S0001
Talbis Iblis	COMING_SOON	To protect their family's name from being scarred, Hajar who is pregnant out of wedlock, is being forced by her mother to have the baby far away from Kuala Lumpur. After several tries to aborting the child, her baby is alive, but now with a cleft lip, which only caused Hajar to further despise her unborn child. Hajar and her husband Arshad meet a midwife, Mak Ju who specializes in providing the best care before and after childbirth to fulfil her family's request. After spending a few days under her care, Hajar finds in Mak Ju the mother she never had someone loving and motherly. Eventually, Hajar begins to feel love for her baby, inspired by the motherly love Mak Ju had shown to Hajar herself. But unbeknownst to Hajar, Mak Ju's ill intentions would soon come to harm Hajar and her precious	Horror	Khabir Bhatia	Zul Ariffin, Azira Shafinaz, Nasha Aziz, Amir Nafis, Jay Iswazir	PG13	S0002
Black Adam	NOW_SHOWING	Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods - and imprisoned just as quickly - Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.	Action, Adventure, Fantasy	James Collet-Serra	Dwayne Johnson, Aldis Hodge, Pierce Brosnan, Noah Centineo, Sarah Shahi, Marwan Kenzari, Quintessa Swindell, Bodhi Sabongui	PG13	S0003
Black Panther: Wakanda Forever	COMING_SOON	In Marvel Studios’ “Black Panther: Wakanda Forever,” Queen Ramonda (Angela Bassett), Shuri (Letitia Wright), M’Baku (Winston Duke), Okoye (Danai Gurira) and the Dora Milaje (including Florence Kasumba), fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.	Action/ Adventure	Ryan Coogler	Letitia Wright, Tenoch Huerta, Martin Freeman	PG13	S0004
Jurassic World Dominion	NOW_SHOWING	In the epic conclusion to the Jurassic era, two generations unite for the first time as Chris Pratt and Bryce Dallas Howard are joined by Laura Dern, Jeff Goldblum and Sam Neill in a bold, timely and breathtaking new adventure that spans the globe.	Action/ Adventure	Colin Trevorrow	Chris Pratt, Bryce Dallas Howard, Laura Dern	PG13	S0005
Minions 2: The Rise Of Gru	NOW_SHOWING	From the biggest animated franchise in history and global cultural phenomenon comes the untold story of one 12-year-old’s dream to become the world’s greatest supervillain.	Animation	Kyle Balda	Steve Carell, Taraji P. Henson, Michelle Yeoh	PG13	S0006
Top Gun: Maverick	NOW_SHOWING	After more than thirty years of service as one of the Navy's top aviators, Pete """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Maverick"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him.	Action/ Adventure	Joseph Kosinski	Tom Cruise, Miles Teller, Jennifer Connelly, Jon Hamm	PG13	S0007
Life Is Beautiful	COMING_SOON	‘Se-yeon’, who has devoted her entire life to her family as a mother and wife, suddenly learns she is gravely ill. Now determined to live for herself more than ever, ‘Se-yeon’ leaves in search of her ‘first love’ from her high school.	Musical	Choi Kook-hee	Ryu Seung-ryong, Yum Jung-ah, Ong Seong-wu, Park Sewan	PG13	S0008
Family Carnival: Puss In Boots: The Last Wish	COMING_SOON	This fall, everyone's favorite leche-loving, swashbuckling, fear-defying feline returns. For the first time in more than a decade, DreamWorks Animation presents a new adventure in the Shrek universe as daring outlaw Puss in Boots discovers that his passion for peril and disregard for safety have taken their toll. Puss has burned through eight of his nine lives, though he lost count along the way.	Animation	Joel Crawford	Antonio Banderas, Salma Hayek, Olivia Colman, Harvey Guillén	PG13	S0009
ANFF22: Disney And Pixar's Turning Red	COMING_SOON	Disney and Pixar's Turning Red introduces Mei Lee, (voice of Rosalie Chiang), a confident, dorky 13-year-old torn between staying her mother’s dutiful daughter and the chaos of adolescence.	Animation	Domee Shi	Rosalie Chiang, Sandra Oh	PG13	S0010
Red ju	NOW_SHOWING	UISn asd	Action	ui	sd	PG	S0023
